Global Land and Ocean December Average Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
188001,-0.31
188002,-0.39
188003,-0.16
188004,-0.10
188005,-0.12
188006,-0.12
188007,-0.21
188008,-0.04
188009,-0.14
188010,-0.23
188011,-0.20
188012,-0.11
188101,-0.10
188102,-0.13
188103,-0.05
188104,0.03
188105,0.07
188106,-0.15
188107,0.00
188108,-0.08
188109,-0.19
188110,-0.26
188111,-0.27
188112,0.00
188201,0.10
188202,-0.09
188203,-0.06
188204,-0.20
188205,-0.10
188206,-0.24
188207,-0.21
188208,-0.11
188209,-0.16
188210,-0.29
188211,-0.26
188212,-0.27
188301,-0.19
188302,-0.33
188303,-0.11
188304,-0.21
188305,-0.15
188306,0.05
188307,-0.08
188308,-0.23
188309,-0.27
188310,-0.27
188311,-0.26
188312,-0.23
188401,-0.22
188402,-0.15
188403,-0.41
188404,-0.39
188405,-0.31
188406,-0.26
188407,-0.33
188408,-0.30
188409,-0.34
188410,-0.38
188411,-0.38
188412,-0.09
188501,-0.40
188502,-0.28
188503,-0.37
188504,-0.42
188505,-0.28
188506,-0.37
188507,-0.26
188508,-0.19
188509,-0.28
188510,-0.25
188511,-0.27
188512,-0.07
188601,-0.30
188602,-0.36
188603,-0.46
188604,-0.25
188605,-0.25
188606,-0.27
188607,-0.18
188608,-0.22
188609,-0.26
188610,-0.31
188611,-0.31
188612,-0.20
188701,-0.64
188702,-0.45
188703,-0.36
188704,-0.33
188705,-0.34
188706,-0.25
188707,-0.26
188708,-0.26
188709,-0.18
188710,-0.38
188711,-0.27
188712,-0.35
188801,-0.15
188802,-0.28
188803,-0.29
188804,-0.27
188805,-0.17
188806,-0.08
188807,-0.01
188808,-0.09
188809,-0.15
188810,0.11
188811,0.08
188812,0.04
188901,0.07
188902,0.23
188903,0.09
188904,0.06
188905,0.09
188906,-0.02
188907,-0.07
188908,-0.10
188909,-0.13
188910,-0.19
188911,-0.31
188912,-0.25
189001,-0.34
189002,-0.36
189003,-0.36
