Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
191212,-0.36
191301,-0.36
191302,-0.39
191303,-0.41
191304,-0.36
191305,-0.40
191306,-0.39
191307,-0.36
191308,-0.33
191309,-0.36
191310,-0.32
191311,-0.14
191312,-0.04
191401,0.09
191402,-0.12
191403,-0.17
191404,-0.25
191405,-0.17
191406,-0.20
191407,-0.21
191408,-0.17
191409,-0.18
191410,-0.10
191411,-0.12
191412,-0.10
191501,-0.14
191502,-0.01
191503,-0.11
191504,0.02
191505,-0.07
191506,-0.09
191507,-0.03
191508,-0.08
191509,-0.12
191510,-0.18
191511,-0.02
191512,-0.05
191601,-0.18
191602,-0.18
191603,-0.30
191604,-0.20
191605,-0.22
191606,-0.38
191607,-0.29
191608,-0.27
191609,-0.26
191610,-0.26
191611,-0.39
191612,-0.57
191701,-0.43
191702,-0.47
191703,-0.43
191704,-0.31
191705,-0.46
191706,-0.34
191707,-0.17
191708,-0.17
191709,-0.06
191710,-0.26
191711,-0.13
191712,-0.53
191801,-0.21
191802,-0.28
191803,-0.17
191804,-0.29
191805,-0.27
191806,-0.17
191807,-0.20
191808,-0.17
191809,-0.14
191810,-0.10
191811,-0.11
191812,-0.31
191901,-0.23
191902,-0.04
191903,-0.23
191904,-0.07
191905,-0.18
191906,-0.23
191907,-0.21
191908,-0.20
191909,-0.17
191910,-0.22
191911,-0.31
191912,-0.29
192001,-0.11
192002,-0.22
192003,-0.06
192004,-0.21
192005,-0.17
192006,-0.25
192007,-0.24
192008,-0.22
192009,-0.17
192010,-0.20
192011,-0.25
192012,-0.38
192101,-0.05
192102,-0.14
192103,-0.21
192104,-0.20
192105,-0.19
192106,-0.16
192107,-0.11
192108,-0.19
192109,-0.14
192110,-0.06
192111,-0.18
192112,-0.08
192201,-0.31
192202,-0.29
192203,-0.07
192204,-0.12
192205,-0.26
192206,-0.28
192207,-0.26
192208,-0.27
192209,-0.25
192210,-0.24
192211,-0.19
192212,-0.15
192301,-0.21
192302,-0.37
192303,-0.27
192304,-0.33
192305,-0.24
192306,-0.19
192307,-0.27
192308,-0.27
192309,-0.24
192310,-0.15
192311,0.04
192312,0.01
192401,-0.25
192402,-0.18
192403,-0.11
192404,-0.24
192405,-0.20
192406,-0.22
192407,-0.21
192408,-0.28
192409,-0.28
192410,-0.28
192411,-0.29
192412,-0.38
192501,-0.31
192502,-0.27
192503,-0.16
192504,-0.15
192505,-0.21
192506,-0.22
192507,-0.20
192508,-0.13
192509,-0.09
192510,-0.11
192511,0.07
192512,0.15
192601,0.18
192602,0.10
192603,0.09
192604,-0.12
